,codigo,setor,precoAtual,liquidezDiaria,dividendo,dividendYield,dividendYieldAnual,variacaoPreco,pvp,vacanciaFisica,vacanciaFinanceira
0,AAZQ11,,"R$ 9,64",55865.0,"R$ 0,13","1,35%","2,90%","-0,72%","1,00",N/A,N/A
1,ABCP11,Shoppings,"R$ 64,85",798.0,"R$ 0,50","0,77%","1,53%","-2,90%","0,71","7,50%",N/A
2,AFHI11,Títulos e Val. Mob.,"R$ 92,21",7009.0,"R$ 1,06","1,12%","2,24%","0,57%","0,97",N/A,N/A
3,AGRX11,,"R$ 10,69",10183.0,"R$ 0,18","1,68%","3,24%","4,29%",N/A,N/A,N/A
4,AIEC11,Lajes Corporativas,"R$ 60,64",3907.0,"R$ 0,75","1,22%","1,49%","-7,46%","0,64","0,00%",N/A
5,ALMI11,Lajes Corporativas,"R$ 742,02",14.0,"R$ 0,00","0,00%","0,00%","2,27%","0,37","64,05%",N/A
6,ALZM11,Títulos e Val. Mob.,"R$ 83,36",2828.0,"R$ 0,85","1,01%","2,11%","5,63%","0,87",N/A,N/A
7,ALZR11,Logística,"R$ 112,00",6636.0,"R$ 0,82","0,74%","1,46%","0,09%","1,05","0,00%",N/A
8,APTO11,Híbrido,"R$ 8,56",1931.0,"R$ 0,10","1,23%","2,38%","-6,44%","0,86",N/A,N/A
9,ARCT11,,,,"R$ 0,39","0,44%","13,92%","-0,42%","0,87",N/A,N/A
10,ARRI11,Títulos e Val. Mob.,"R$ 8,86",34865.0,"R$ 0,11","1,24%","3,38%","-4,73%","1,00",N/A,N/A
11,ATSA11,Shoppings,"R$ 73,00",9.0,"R$ 0,05","0,07%","0,13%","0,00%","0,89","21,90%",N/A
12,BARI11,Títulos e Val. Mob.,"R$ 78,92",12920.0,"R$ 0,90","1,07%","2,06%","-8,06%","0,83",N/A,N/A
13,BBFI11B,Lajes Corporativas,"R$ 1.401,00",116.0,"R$ 27,08","1,30%","2,59%","-0,43%","0,49","39,11%",N/A
14,BBFO11,Títulos e Val. Mob.,"R$ 64,20",8021.0,"R$ 0,73","1,11%","2,26%","-0,87%","0,82",N/A,N/A
15,BBGO11,Títulos e Val. Mob.,"R$ 77,72",890.0,"R$ 0,87","1,09%","2,17%","-1,18%","0,80",N/A,N/A
16,BBIM11,Títulos e Val. Mob.,N/A,N/A,"R$ 0,15","0,00%",N/A,"0,00%",N/A,N/A,N/A
17,BBPO11,Lajes Corporativas,"R$ 84,31",14470.0,"R$ 0,90","1,10%","2,14%","-5,90%","0,84","0,00%","0,00%"
18,BBRC11,Outros,"R$ 93,51",967.0,"R$ 0,99","1,05%","2,08%","-0,85%","0,87","5,37%","1,08%"
19,BCFF11,Títulos e Val. Mob.,"R$ 61,50",30448.0,"R$ 0,56","0,89%","1,78%","0,67%","0,81",N/A,N/A
20,BCIA11,Títulos e Val. Mob.,"R$ 80,74",3814.0,"R$ 0,78","0,97%","2,83%","-1,54%","0,83",N/A,N/A
21,BCRI11,Títulos e Val. Mob.,"R$ 78,09",19089.0,"R$ 0,80","0,84%","1,85%","-4,49%","0,78",N/A,N/A
22,BDIF11,Renda,"R$ 82,10",15200.0,"R$ 1,00","0,00%",N/A,"0,00%",N/A,N/A,N/A
23,BICE11,Títulos e Val. Mob.,"R$ 999,00",3.0,"R$ 12,63","1,30%","3,16%","-1,12%","1,03",N/A,N/A
24,BICR11,Títulos e Val. Mob.,"R$ 100,57",1.0,"R$ 0,72","0,73%","1,53%","0,34%","1,01",N/A,N/A
25,BIDB11,Renda,"R$ 87,50",343.0,"R$ 1,30","1,49%","1,49%","0,00%",N/A,N/A,N/A
26,BIME11,,"R$ 6,72",8784.0,"R$ 0,08","1,08%","2,12%","-4,16%","0,75",N/A,N/A
27,BLCA11,Lajes Corporativas,"R$ 110,00",3.0,"R$ 0,58","0,50%","1,17%","33,71%","0,77","0,00%",N/A
28,BLCP11,Outros,"R$ 91,00",123.0,"R$ 0,56","0,62%","5,31%","-0,54%","0,81","6,20%",N/A
29,BLMC11,Outros,"R$ 71,00",34.0,"R$ 0,87","1,18%","2,26%","-1,97%","0,74",N/A,N/A
30,BLMG11,Logística,"R$ 60,93",5536.0,"R$ 0,78","1,15%","2,30%","-0,98%","0,64","0,00%","0,00%"
31,BLMO11,Lajes Corporativas,"R$ 20.999,00",1.0,"R$ 50,00","0,24%","0,24%","0,00%","0,63","0,00%",N/A
32,BLMR11,Títulos e Val. Mob.,"R$ 6,32",47672.0,"R$ 0,07","1,05%","2,08%","-2,05%","0,84",N/A,N/A
33,BMLC11,Lajes Corporativas,"R$ 101,00",40.0,"R$ 0,69","0,68%","1,32%","-0,23%","0,93","7,00%",N/A
34,BNFS11,Outros,"R$ 114,00",559.0,"R$ 1,35","1,11%","2,19%","-1,08%","1,25","0,00%",N/A
35,BODB11,Renda,"R$ 9,78",47649.0,"R$ 0,11","1,12%","1,12%","0,00%",N/A,N/A,N/A
36,BPFF11,Títulos e Val. Mob.,"R$ 59,00",5695.0,"R$ 0,62","1,01%","1,97%","-5,14%","0,82",N/A,N/A
37,BPML11,Shoppings,"R$ 56,00",10.0,"R$ 0,27","0,46%","0,46%","0,00%","0,45","5,80%",N/A
38,BRCO11,Logística,"R$ 93,01",14918.0,"R$ 0,62","0,66%","1,31%","-3,06%","0,77","0,00%","0,00%"
39,BRCR11,Híbrido,"R$ 53,01",15048.0,"R$ 0,46","0,81%","1,68%","4,03%","0,53","21,00%","25,80%"
40,BREV11,Híbrido,"R$ 103,00",7.0,"R$ 4,13","4,01%","4,63%","0,02%","0,85","0,00%",N/A
41,BREV11,Híbrido,"R$ 103,00",7.0,"R$ 0,41","0,40%","1,02%","-0,38%","0,85","0,00%",N/A
42,BRIP11,Híbrido,"R$ 1.000,00",1.0,"R$ 107,00","0,00%",N/A,"0,00%","1,03",N/A,N/A
43,BRLA11,Híbrido,"R$ 141,95",50.0,"R$ 1,09","0,79%","1,55%","-2,90%","0,90",N/A,N/A
44,BTAL11,Outros,"R$ 82,52",16963.0,"R$ 0,83","0,97%","1,90%","-3,45%","0,78",N/A,N/A
45,BTCR11,Títulos e Val. Mob.,"R$ 88,00",6663.0,"R$ 0,90","1,00%","11,59%","-6,19%","0,92",N/A,N/A
46,BTLG11,Logística,"R$ 93,45",24789.0,"R$ 0,74","0,79%","1,58%","0,53%","0,94",N/A,"2,00%"
47,BTRA11,Outros,"R$ 83,56",5821.0,"R$ 0,95","1,13%","2,25%","0,08%","0,60",N/A,N/A
48,BTSG11,Híbrido,"R$ 100,00",1.0,"R$ 0,87","0,00%",N/A,"0,00%","0,73",N/A,N/A
49,BTSI11,Híbrido,N/A,N/A,"R$ 0,72","0,00%",N/A,"0,00%",N/A,N/A,N/A
50,BTWR11,Lajes Corporativas,"R$ 107,00",4.0,"R$ 0,47","0,44%","0,81%","0,00%","0,96","12,00%",N/A
51,BZLI11,Títulos e Val. Mob.,"R$ 17,00",1.0,"R$ 0,00","0,00%","0,00%","0,68%","1,58",N/A,N/A
52,CACR11,Híbrido,"R$ 105,88",2476.0,"R$ 1,42","1,34%","2,69%","2,92%","1,02",N/A,N/A
53,CARE11,Híbrido,"R$ 2,14",9859.0,"R$ 0,00","0,23%","1,36%","-2,63%","0,26",N/A,N/A
54,CBOP11,Lajes Corporativas,"R$ 36,56",3415.0,"R$ 0,12","0,28%","0,54%","-6,39%","0,49","33,59%","30,79%"
55,CCME11,Outros,N/A,N/A,"R$ 0,85","0,00%",N/A,"0,00%",N/A,N/A,N/A
56,CCRF11,Títulos e Val. Mob.,"R$ 85,54",44.0,"R$ 0,50","0,63%","2,23%","-8,80%","0,90",N/A,N/A
57,CEOC11,Lajes Corporativas,"R$ 52,30",1134.0,"R$ 0,64","1,20%","2,38%","-3,34%","0,66","0,00%",N/A
58,CJCT11,Lajes Corporativas,"R$ 64,01",2559.0,"R$ 0,00",N/A,N/A,N/A,"0,98","59,00%",N/A
59,CNES11,Lajes Corporativas,"R$ 29,93",13.0,"R$ 0,11","0,39%","0,79%","-7,03%","0,33","56,70%",N/A
60,CORM11,Híbrido,"R$ 99,42",20270.0,"R$ 0,77","0,90%","6,20%","-2,97%","1,18",N/A,N/A
61,CPFF11,Híbrido,"R$ 57,48",2027.0,"R$ 0,34","0,59%","1,24%","2,10%","0,73",N/A,N/A
62,CPTI11,Renda,"R$ 93,90",4397.0,"R$ 0,90","0,96%","0,96%","0,00%",N/A,N/A,N/A
63,CPTR11,,"R$ 95,24",12675.0,"R$ 1,35","1,39%","2,89%","0,07%","0,97",N/A,N/A
64,CPTS11,Títulos e Val. Mob.,"R$ 74,89",65766.0,"R$ 0,76","1,00%","1,98%","-0,24%","0,83",N/A,N/A
65,CRFF11,Títulos e Val. Mob.,"R$ 61,79",68.0,"R$ 0,61","0,95%","1,91%","0,42%","0,76",N/A,N/A
66,CTXT11,Lajes Corporativas,"R$ 11,01",177.0,"R$ 0,09","0,39%","1,36%","-2,58%","0,32","97,00%",N/A
67,CVBI11,Títulos e Val. Mob.,"R$ 87,45",17895.0,"R$ 1,00","1,12%","2,37%","0,47%","0,93",N/A,N/A
68,CXAG11,Outros,"R$ 76,47",459.0,"R$ 0,75","0,97%","1,93%","0,25%","0,67",N/A,N/A
69,CXCE11B,Outros,"R$ 38,68",651.0,"R$ 0,41","1,03%","2,03%","-1,58%","0,59","0,00%",N/A
70,CXCI11,,"R$ 76,20",1622.0,"R$ 0,83","1,07%","2,18%","3,12%","0,84",N/A,N/A
71,CXCO11,Lajes Corporativas,"R$ 67,50",1114.0,"R$ 0,51","0,73%","1,75%","-2,12%","0,68",N/A,N/A
72,CXRI11,Híbrido,"R$ 61,57",75.0,"R$ 0,56","0,92%","1,81%","-3,17%","0,77",N/A,N/A
73,CXTL11,Logística,"R$ 413,99",335.0,"R$ 1,70","0,41%","1,19%","-0,24%","0,89","61,00%",N/A
74,CYCR11,Títulos e Val. Mob.,"R$ 8,02",30656.0,"R$ 0,10","1,23%","2,35%","-3,66%","0,84",N/A,N/A
75,DCRA11,,"R$ 8,78",13052.0,"R$ 0,11","1,20%","2,52%","1,44%",N/A,N/A,N/A
76,DEVA11,Títulos e Val. Mob.,"R$ 52,80",242807.0,"R$ 0,90","1,15%","2,41%","-10,76%","0,53",N/A,N/A
77,DRIT11B,Lajes Corporativas,"R$ 82,18",7.0,"R$ 0,45","0,52%","1,05%","-15,69%","0,62","10,47%",N/A
78,DVFF11,Híbrido,"R$ 63,30",5190.0,"R$ 0,70","1,02%","2,06%","1,48%","0,72",N/A,N/A
79,EDFO11B,Lajes Corporativas,"R$ 198,00",26.0,"R$ 1,73","0,87%","2,56%","-1,00%","1,10","7,10%",N/A
80,EDGA11,Lajes Corporativas,"R$ 19,50",2714.0,"R$ 0,13","0,65%","1,27%","-4,26%","0,32","48,81%",N/A
81,EGAF11,,"R$ 101,93",4937.0,"R$ 1,20","1,18%","2,63%","-0,07%",N/A,N/A,N/A
82,EQIR11,Títulos e Val. Mob.,"R$ 8,23",2013.0,"R$ 0,11","1,24%","2,47%","-0,11%","0,84",N/A,N/A
83,ERCR11,Híbrido,"R$ 76.000,00",1.0,"R$ 1.205,12","0,00%",N/A,"0,00%","1,17",N/A,N/A
84,ERPA11,,"R$ 122,98",463.0,"R$ 0,66","0,53%","1,11%","3,30%","0,90",N/A,N/A
85,EURO11,Logística,"R$ 229,97",80.0,"R$ 1,87","0,78%","1,56%","0,18%","0,71","0,00%",N/A
86,EVBI11,Híbrido,"R$ 92,80",392.0,"R$ 0,75","0,80%","1,60%","0,00%","0,93","0,00%",N/A
87,FAED11,Outros,"R$ 143,44",184.0,"R$ 1,61","1,10%","2,25%","3,10%","0,66","0,00%",N/A
88,FAMB11B,Lajes Corporativas,"R$ 725,00",5.0,"R$ 9,16","0,56%","8,82%","-47,80%","0,24","100,00%",N/A
89,FATN11,Híbrido,"R$ 93,99",83.0,"R$ 0,74","0,78%","1,74%","0,79%","0,95","4,30%",N/A
90,FCFL11,Outros,"R$ 105,80",1657.0,"R$ 0,81","0,80%","1,52%","-9,62%","0,91","0,00%",N/A
91,FEXC11,Títulos e Val. Mob.,"R$ 83,50",9153.0,"R$ 0,95","0,00%",N/A,"0,00%","0,92",N/A,N/A
92,FGAA11,,"R$ 9,71",87228.0,"R$ 0,13","1,31%","2,73%","0,71%",N/A,N/A,N/A
93,FIGS11,Shoppings,"R$ 46,26",2004.0,"R$ 0,39","0,82%","1,62%","-1,75%","0,61","13,70%",N/A
94,FIIB11,Híbrido,"R$ 435,00",455.0,"R$ 3,25","0,73%","1,45%","-1,55%","0,94","6,28%",N/A
95,FIIP11B,Logística,"R$ 141,00",601.0,"R$ 1,35","0,94%","1,86%","-1,70%","0,76","0,00%",N/A
96,FISC11,Lajes Corporativas,"R$ 165,00",200.0,"R$ 0,38","0,00%",N/A,"0,00%","1,43",N/A,N/A
97,FIVN11,Shoppings,"R$ 2,96",1011.0,"R$ 0,00","0,00%",N/A,"0,00%","0,39","56,00%",N/A
98,FLCR11,Títulos e Val. Mob.,"R$ 94,39",308.0,"R$ 1,15","1,20%","2,34%","-0,06%","0,96",N/A,N/A
99,FLMA11,Híbrido,"R$ 117,57",257.0,"R$ 0,78","0,64%","1,27%","-6,08%","0,73","11,00%",N/A
100,FLRP11,Shoppings,"R$ 1.607,00",1.0,"R$ 13,00","0,80%","1,62%","2,21%","0,88","2,01%",N/A
101,FMOF11,Lajes Corporativas,"R$ 51,11",1.0,"R$ 0,64",N/A,N/A,N/A,"0,43","52,08%",N/A
102,FPAB11,Lajes Corporativas,"R$ 134,99",16.0,"R$ 1,52","1,13%","2,33%","-1,46%","0,36","33,79%",N/A
103,FVPQ11,Shoppings,"R$ 88,95",168.0,"R$ 0,62","0,63%","1,86%","-2,27%","0,46","5,50%",N/A
104,GALG11,Híbrido,"R$ 8,23",44011.0,"R$ 0,08","0,95%","1,84%","-4,64%","0,89","0,00%","0,00%"
105,GAME11,Híbrido,"R$ 8,24",5342.0,"R$ 0,10","1,16%","2,32%","-0,81%","0,84",N/A,N/A
106,GCFF11,Títulos e Val. Mob.,"R$ 66,86",92.0,"R$ 0,75","1,11%","2,12%","-1,96%","0,84",N/A,N/A
107,GCRA11,Híbrido,"R$ 91,38",6984.0,"R$ 1,24","1,30%","2,58%","0,78%","0,93",N/A,N/A
108,GCRI11,Títulos e Val. Mob.,"R$ 87,74",1849.0,"R$ 1,10","1,21%","2,44%","1,05%","0,93",N/A,N/A
109,GESE11B,Outros,"R$ 1.520,00",300.0,"R$ 14,74","0,00%",N/A,"0,00%","0,86",N/A,N/A
110,GGRC11,Logística,"R$ 99,00",11820.0,"R$ 0,95","0,91%","1,84%","0,70%","0,80","0,00%","0,00%"
111,GSFI11,Shoppings,"R$ 5,10",15825.0,"R$ 0,00","0,03%","0,03%","0,00%","0,36","10,30%",N/A
112,GTLG11,,"R$ 95,00",2339.0,"R$ 0,70","0,73%","1,44%","-2,03%","1,02",N/A,N/A
113,GTWR11,Lajes Corporativas,"R$ 73,91",25647.0,"R$ 0,79","1,06%","2,13%","-0,01%","0,78","0,00%","0,00%"
114,HAAA11,Lajes Corporativas,"R$ 63,00",117.0,"R$ 0,47","0,67%","1,26%","-12,37%","0,71","17,00%",N/A
115,HABT11,Títulos e Val. Mob.,"R$ 86,13",26126.0,"R$ 1,25","1,45%","4,12%","-1,63%","0,87",N/A,N/A
116,HBRH11,Híbrido,"R$ 91,50",146.0,"R$ 0,61","0,67%","1,39%","3,17%","0,82",N/A,N/A
117,HCHG11,Outros,"R$ 80,06",12.0,"R$ 1,00","1,17%","2,38%","2,91%","0,80",N/A,N/A
118,HCRI11,Hospital,"R$ 237,50",75.0,"R$ 2,69","1,12%","2,22%","5,19%","0,77","0,00%",N/A
119,HCTR11,Outros,"R$ 52,50",298964.0,"R$ 0,70","0,95%","2,00%","-23,01%","0,44",N/A,N/A
120,HFOF11,Títulos e Val. Mob.,"R$ 65,21",10583.0,"R$ 0,63","0,96%","1,91%","-1,94%","0,85",N/A,N/A
121,HGAG11,,"R$ 35,65",333.0,"R$ 0,47","1,62%","3,31%","9,21%",N/A,N/A,N/A
122,HGBS11,Shoppings,"R$ 181,48",8876.0,"R$ 1,40","0,77%","1,53%","-1,29%","0,83","6,50%",N/A
123,HGCR11,Títulos e Val. Mob.,"R$ 103,00",24227.0,"R$ 1,20","1,18%","2,35%","-0,66%","1,02",N/A,N/A
124,HGFF11,Títulos e Val. Mob.,"R$ 70,78",10601.0,"R$ 0,65","0,92%","1,82%","-1,81%","0,84",N/A,N/A
125,HGIC11,Títulos e Val. Mob.,"R$ 92,94",14.0,"R$ 0,85","0,85%","1,49%","-2,30%","0,81",N/A,N/A
126,HGLG11,Logística,"R$ 160,00",29052.0,"R$ 1,10","0,68%","1,36%","-0,38%","1,04","6,90%","6,50%"
127,HGPO11,Lajes Corporativas,"R$ 245,00",989.0,"R$ 1,60","0,65%","1,27%","-3,45%","0,82","4,99%","2,72%"
128,HGRE11,Lajes Corporativas,"R$ 110,84",9766.0,"R$ 0,78","0,69%","1,37%","0,02%","0,71","27,13%","29,17%"
129,HGRS11,Residencial,N/A,N/A,"R$ 0,00","0,00%",N/A,"0,00%",N/A,N/A,N/A
130,HGRU11,Híbrido,"R$ 115,32",31401.0,"R$ 0,85","0,74%","1,43%","-3,74%","0,94","0,00%","0,00%"
131,HLOG11,Logística,"R$ 84,47",110.0,"R$ 0,65","0,77%","1,52%","-2,49%","0,73","58,00%","0,00%"
132,HOFC11,Lajes Corporativas,"R$ 25,29",2435.0,"R$ 0,11","0,00%",N/A,"0,00%","0,28","46,00%","50,00%"
133,HOSI11,Híbrido,"R$ 58,18",130.0,"R$ 0,42","0,68%","1,36%","-4,85%","0,63",N/A,N/A
134,HPDP11,Shoppings,"R$ 64,05",5.0,"R$ 0,45","0,64%","1,22%","-8,29%","0,72","2,00%",N/A
135,HRDF11,Híbrido,"R$ 0,94",1733.0,"R$ 6,80",N/A,N/A,N/A,"0,83",N/A,N/A
136,HREC11,Títulos e Val. Mob.,"R$ 77,20",584.0,"R$ 0,90","1,17%","2,30%","-2,46%","0,87",N/A,N/A
137,HSAF11,Títulos e Val. Mob.,"R$ 77,50",4875.0,"R$ 0,90","1,15%","2,28%","-1,12%","0,85",N/A,N/A
138,HSLG11,Logística,"R$ 75,50",7785.0,"R$ 0,72","0,89%","1,76%","0,81%","0,72","1,10%",N/A
139,HSML11,Shoppings,"R$ 78,96",17630.0,"R$ 0,74","0,94%","1,81%","-1,51%","0,82","4,50%",N/A
140,HSRE11,Híbrido,"R$ 103,00",21.0,"R$ 0,63","0,61%","1,23%","0,58%","1,07","0,00%",N/A
141,HTMX11,Hotel,"R$ 99,01",2023.0,"R$ 0,63","0,59%","1,24%","-6,70%","0,71","65,00%",N/A
142,HUSC11,Outros,"R$ 99,50",36.0,"R$ 0,85","0,83%","1,66%","-2,25%","0,68",N/A,N/A
143,HUSI11,Hospital,"R$ 1.137,61",1.0,"R$ 8,06","0,71%","2,94%","0,00%","1,02",N/A,N/A
144,IBCR11,Títulos e Val. Mob.,"R$ 76,46",1510.0,"R$ 1,00","1,32%","2,52%","0,63%","0,80",N/A,N/A
145,IBFF11,Títulos e Val. Mob.,"R$ 66,40",1924.0,"R$ 0,30","0,44%","5,42%","7,50%","4,49",N/A,N/A
146,IDFI11,Híbrido,"R$ 53,83",228.0,"R$ 0,50","0,92%","1,13%","-1,24%","0,97",N/A,N/A
147,IFRA11,Renda,"R$ 95,29",8978.0,"R$ 0,87","0,91%","0,91%","0,00%",N/A,N/A,N/A
148,IRDM11,Títulos e Val. Mob.,"R$ 77,69",245262.0,"R$ 0,93","1,08%","2,11%","-5,91%","0,84",N/A,N/A
149,IRIM11,Híbrido,"R$ 85,70",3682.0,"R$ 1,02","1,14%","2,26%","-1,48%","0,88",N/A,N/A
150,ITIP11,Títulos e Val. Mob.,"R$ 74,23",968.0,"R$ 0,88","1,15%","2,24%","-0,95%","0,94",N/A,N/A
151,ITIT11,Títulos e Val. Mob.,"R$ 73,90",1282.0,"R$ 0,58","0,78%","1,63%","-2,91%","0,99",N/A,N/A
152,JFLL11,Residencial,"R$ 58,38",909.0,"R$ 0,62","1,03%","2,08%","1,64%","0,58","28,00%",N/A
153,JGPX11,Híbrido,"R$ 96,59",1610.0,"R$ 1,13","1,17%","2,53%","-0,67%","1,00",N/A,N/A
154,JPPA11,Títulos e Val. Mob.,"R$ 100,18",5585.0,"R$ 1,40","1,36%","2,70%","-1,54%","1,02",N/A,N/A
155,JRDM11,Shoppings,"R$ 77,98",508.0,"R$ 0,65","0,84%","6,64%","-2,41%","0,88","2,77%",N/A
156,JRDM11,Shoppings,"R$ 77,98",508.0,"R$ 0,52","0,65%","6,46%","-0,05%","0,88","2,77%",N/A
157,JSAF11,Títulos e Val. Mob.,"R$ 79,00",5747.0,"R$ 0,93","1,16%","2,32%","-0,40%","0,87",N/A,N/A
158,JSRE11,Híbrido,"R$ 61,15",32392.0,"R$ 0,46","0,68%","1,44%","4,86%","0,54","14,80%","13,40%"
159,JURO11,Renda,"R$ 100,94",10348.0,"R$ 0,50","0,00%",N/A,"0,00%",N/A,N/A,N/A
160,KCRE11,Renda,"R$ 89,18",10049.0,"R$ 0,87","0,93%","2,13%","4,06%","0,91",N/A,N/A
161,KDIF11,Renda,"R$ 125,90",13793.0,"R$ 1,45","1,15%","1,15%","0,00%",N/A,N/A,N/A
162,KEVE11,Residencial,"R$ 1.000,00",18.0,"R$ 3,05","0,32%","0,32%","0,00%","1,08",N/A,N/A
163,KFOF11,Títulos e Val. Mob.,"R$ 77,19",4692.0,"R$ 0,72","0,92%","1,87%","1,87%","0,88",N/A,N/A
